x2|x1|p2|eigv1|eigv2
-1.900|-0.617|-1.276|-0.451|-3.628
-1.800|-0.585|-1.116|-0.451|-3.505
-1.700|-0.552|-0.974|-0.451|-3.381
-1.600|-0.520|-0.847|-0.450|-3.259
-1.500|-0.487|-0.734|-0.450|-3.136
-1.400|-0.455|-0.634|-0.450|-3.013
-1.300|-0.422|-0.545|-0.450|-2.891
-1.200|-0.390|-0.466|-0.451|-2.769
-1.100|-0.357|-0.396|-0.451|-2.647
-1.000|-0.325|-0.333|-0.452|-2.526
-0.900|-0.292|-0.278|-0.452|-2.404
-0.800|-0.260|-0.230|-0.454|-2.283
-0.700|-0.227|-0.187|-0.455|-2.162
-0.600|-0.195|-0.149|-0.458|-2.041
-0.500|-0.162|-0.115|-0.461|-1.919
-0.400|-0.130|-0.086|-0.465|-1.798
-0.300|-0.097|-0.060|-0.470|-1.676
-0.200|-0.065|-0.037|-0.477|-1.553
-0.100|-0.032|-0.017|-0.486|-1.428
0.000|0.000|0.000|-0.500|-1.300
0.100|0.033|0.015|-0.520|-1.167
0.200|0.065|0.028|-0.553|-1.021
0.300|0.098|0.040|-0.629|-0.835
0.400|0.130|0.050|-0.677+0.168j|-0.677-0.168j
0.500|0.163|0.059|-0.624+0.250j|-0.624-0.250j
0.600|0.195|0.066|-0.571+0.303j|-0.571-0.303j
0.700|0.228|0.073|-0.519+0.343j|-0.519-0.343j
0.800|0.260|0.079|-0.468+0.374j|-0.468-0.374j
0.900|0.293|0.084|-0.418+0.398j|-0.418-0.398j
1.000|0.325|0.089|-0.370+0.419j|-0.370-0.419j
1.100|0.358|0.093|-0.324+0.438j|-0.324-0.438j
1.200|0.390|0.096|-0.280+0.455j|-0.280-0.455j
1.300|0.423|0.100|-0.238+0.473j|-0.238-0.473j
1.400|0.455|0.103|-0.199+0.493j|-0.199-0.493j
1.500|0.488|0.106|-0.163+0.517j|-0.163-0.517j
1.600|0.520|0.109|-0.131+0.545j|-0.131-0.545j
1.700|0.553|0.113|-0.104+0.580j|-0.104-0.580j
1.800|0.585|0.117|-0.082+0.624j|-0.082-0.624j
1.900|0.618|0.121|-0.069+0.678j|-0.069-0.678j
2.000|0.650|0.126|-0.064+0.744j|-0.064-0.744j
2.100|0.683|0.132|-0.072+0.823j|-0.072-0.823j
2.200|0.715|0.139|-0.097+0.917j|-0.097-0.917j
2.300|0.748|0.148|-0.145+1.029j|-0.145-1.029j
2.400|0.780|0.161|-0.226+1.159j|-0.226-1.159j
2.500|0.813|0.178|-0.358+1.309j|-0.358-1.309j
2.600|0.845|0.202|-0.573+1.475j|-0.573-1.475j
2.700|0.878|0.241|-0.936+1.636j|-0.936-1.636j
2.800|0.910|0.307|-1.608+1.678j|-1.608-1.678j
2.900|0.943|0.451|-3.633|-2.593
3.000|0.975|0.971|-15.886|-1.514
3.100|1.008|-3.026|70.652|-1.255
3.200|1.040|-0.530|16.473|-1.113
3.300|1.073|-0.273|10.905|-1.019
3.400|1.105|-0.176|8.833|-0.951
3.500|1.138|-0.125|7.786|-0.899
3.600|1.170|-0.094|-0.858|7.180
3.700|1.203|-0.073|-0.825|6.804
3.800|1.235|-0.059|-0.798|6.565
3.900|1.268|-0.048|-0.774|6.413
4.000|1.300|-0.040|-0.754|6.321
4.100|1.333|-0.033|-0.737|6.271
4.200|1.365|-0.028|-0.722|6.251
4.300|1.398|-0.024|-0.708|6.256
4.400|1.430|-0.020|-0.696|6.279
4.500|1.463|-0.018|-0.686|6.317
