x2|x1|p2|eigv1|eigv2
-1.900|-0.353|-0.872|-0.467|-3.672
-1.800|-0.334|-0.758|-0.467|-3.548
-1.700|-0.316|-0.657|-0.467|-3.423
-1.600|-0.297|-0.567|-0.467|-3.298
-1.500|-0.279|-0.488|-0.467|-3.174
-1.400|-0.260|-0.418|-0.468|-3.049
-1.300|-0.241|-0.357|-0.468|-2.925
-1.200|-0.223|-0.303|-0.468|-2.801
-1.100|-0.204|-0.255|-0.469|-2.676
-1.000|-0.186|-0.213|-0.469|-2.552
-0.900|-0.167|-0.176|-0.470|-2.428
-0.800|-0.149|-0.144|-0.471|-2.304
-0.700|-0.130|-0.116|-0.473|-2.180
-0.600|-0.111|-0.091|-0.474|-2.056
-0.500|-0.093|-0.070|-0.476|-1.931
-0.400|-0.074|-0.052|-0.479|-1.807
-0.300|-0.056|-0.036|-0.482|-1.681
-0.200|-0.037|-0.022|-0.486|-1.556
-0.100|-0.019|-0.010|-0.492|-1.429
0.000|0.000|0.000|-0.500|-1.300
0.100|0.019|0.009|-0.511|-1.168
0.200|0.037|0.016|-0.529|-1.030
0.300|0.056|0.022|-0.563|-0.877
0.400|0.074|0.027|-0.660+0.080j|-0.660-0.080j
0.500|0.093|0.031|-0.601+0.176j|-0.601-0.176j
0.600|0.111|0.034|-0.541+0.220j|-0.541-0.220j
0.700|0.130|0.037|-0.482+0.244j|-0.482-0.244j
0.800|0.149|0.039|-0.424+0.253j|-0.424-0.253j
0.900|0.167|0.041|-0.365+0.249j|-0.365-0.249j
1.000|0.186|0.042|-0.307+0.232j|-0.307-0.232j
1.100|0.204|0.043|-0.249+0.199j|-0.249-0.199j
1.200|0.223|0.043|-0.192+0.140j|-0.192-0.140j
1.300|0.241|0.043|-0.214|-0.056
1.400|0.260|0.043|-0.272|0.116
1.500|0.279|0.043|-0.294|0.251
1.600|0.297|0.043|-0.307|0.375
1.700|0.316|0.042|-0.314|0.494
1.800|0.334|0.042|-0.319|0.608
1.900|0.353|0.041|-0.321|0.718
2.000|0.371|0.040|-0.322|0.826
2.100|0.390|0.039|-0.321|0.932
2.200|0.409|0.038|-0.320|1.035
2.300|0.427|0.037|-0.318|1.135
2.400|0.446|0.036|-0.314|1.232
2.500|0.464|0.036|-0.310|1.327
2.600|0.483|0.035|-0.305|1.418
2.700|0.501|0.034|-0.300|1.507
2.800|0.520|0.033|-0.293|1.591
2.900|0.539|0.032|-0.285|1.671
3.000|0.557|0.031|-0.276|1.747
3.100|0.576|0.031|-0.266|1.817
3.200|0.594|0.030|-0.254|1.882
3.300|0.613|0.029|-0.240|1.939
3.400|0.631|0.029|-0.225|1.988
3.500|0.650|0.028|-0.206|2.028
3.600|0.669|0.028|-0.184|2.056
3.700|0.687|0.027|-0.158|2.070
3.800|0.706|0.027|-0.126|2.067
3.900|0.724|0.027|-0.087|2.043
4.000|0.743|0.026|-0.036|1.992
4.100|0.761|0.026|0.031|1.903
4.200|0.780|0.027|0.128|1.760
4.300|0.799|0.027|0.283|1.524
4.400|0.817|0.027|0.718|0.968
4.500|0.836|0.028|0.753+0.681j|0.753-0.681j
