x2|x1|p2|eigv1|eigv2
-1.900|-0.494|-1.105|-0.458|-3.647
-1.800|-0.468|-0.964|-0.458|-3.523
-1.700|-0.442|-0.839|-0.458|-3.399
-1.600|-0.416|-0.728|-0.458|-3.275
-1.500|-0.390|-0.629|-0.458|-3.152
-1.400|-0.364|-0.541|-0.458|-3.029
-1.300|-0.338|-0.463|-0.458|-2.906
-1.200|-0.312|-0.395|-0.458|-2.783
-1.100|-0.286|-0.334|-0.459|-2.660
-1.000|-0.260|-0.280|-0.459|-2.537
-0.900|-0.234|-0.233|-0.460|-2.415
-0.800|-0.208|-0.192|-0.462|-2.292
-0.700|-0.182|-0.155|-0.463|-2.170
-0.600|-0.156|-0.123|-0.465|-2.047
-0.500|-0.130|-0.095|-0.468|-1.925
-0.400|-0.104|-0.070|-0.471|-1.802
-0.300|-0.078|-0.049|-0.475|-1.678
-0.200|-0.052|-0.030|-0.481|-1.554
-0.100|-0.026|-0.014|-0.489|-1.428
0.000|0.000|0.000|-0.500|-1.300
0.100|0.026|0.012|-0.516|-1.167
0.200|0.052|0.022|-0.542|-1.026
0.300|0.078|0.031|-0.595|-0.858
0.400|0.104|0.039|-0.669+0.134j|-0.669-0.134j
0.500|0.130|0.045|-0.612+0.217j|-0.612-0.217j
0.600|0.156|0.051|-0.556+0.266j|-0.556-0.266j
0.700|0.182|0.055|-0.501+0.298j|-0.501-0.298j
0.800|0.208|0.059|-0.446+0.320j|-0.446-0.320j
0.900|0.234|0.062|-0.391+0.332j|-0.391-0.332j
1.000|0.260|0.065|-0.338+0.338j|-0.338-0.338j
1.100|0.286|0.067|-0.285+0.338j|-0.285-0.338j
1.200|0.312|0.068|-0.233+0.332j|-0.233-0.332j
1.300|0.338|0.070|-0.183+0.322j|-0.183-0.322j
1.400|0.364|0.071|-0.133+0.307j|-0.133-0.307j
1.500|0.390|0.071|-0.085+0.289j|-0.085-0.289j
1.600|0.416|0.072|-0.038+0.268j|-0.038-0.268j
1.700|0.442|0.072|0.007+0.245j|0.007-0.245j
1.800|0.468|0.073|0.050+0.222j|0.050-0.222j
1.900|0.494|0.073|0.091+0.203j|0.091-0.203j
2.000|0.520|0.073|0.129+0.194j|0.129-0.194j
2.100|0.546|0.074|0.164+0.199j|0.164-0.199j
2.200|0.572|0.074|0.196+0.224j|0.196-0.224j
2.300|0.598|0.075|0.223+0.269j|0.223-0.269j
2.400|0.624|0.075|0.245+0.330j|0.245-0.330j
2.500|0.650|0.076|0.261+0.405j|0.261-0.405j
2.600|0.676|0.077|0.268+0.494j|0.268-0.494j
2.700|0.702|0.079|0.266+0.596j|0.266-0.596j
2.800|0.728|0.081|0.251+0.712j|0.251-0.712j
2.900|0.754|0.084|0.219+0.842j|0.219-0.842j
3.000|0.780|0.088|0.164+0.989j|0.164-0.989j
3.100|0.806|0.094|0.076+1.153j|0.076-1.153j
3.200|0.832|0.101|-0.058+1.336j|-0.058-1.336j
3.300|0.858|0.111|-0.266+1.537j|-0.266-1.537j
3.400|0.884|0.127|-0.595+1.743j|-0.595-1.743j
3.500|0.910|0.153|-1.153+1.902j|-1.153-1.902j
3.600|0.936|0.200|-2.216+1.704j|-2.216-1.704j
3.700|0.962|0.313|-7.751|-1.896
3.800|0.988|0.921|-36.615|-1.412
3.900|1.014|-0.733|40.688|-1.203
4.000|1.040|-0.238|17.478|-1.078
4.100|1.066|-0.134|12.599|-0.993
4.200|1.092|-0.089|10.525|-0.931
4.300|1.118|-0.064|-0.882|9.410
4.400|1.144|-0.049|-0.844|8.736
4.500|1.170|-0.038|-0.813|8.304
